                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87893,                 1.4804,                  1.157,                0.32246,                0.65433,                0.44963,                0.28737,                 1.1255,                 2.1093,                 1.5193,             0.00060303,             0.00060303,             0.00060303
                     36,                0.93899,                 1.3986,                 1.2039,                0.58061,                0.36735,                0.53357,                 0.3219,                 1.1865,                 2.0983,                 1.5777,             0.00059403,             0.00059403,             0.00059403
                     37,                0.92234,                 1.3731,                 1.2052,                0.24511,                0.68253,                0.35524,                0.22898,                 1.1326,                 2.0781,                 1.5001,             0.00058503,             0.00058503,             0.00058503
                     38,                0.92808,                 1.3104,                  1.173,                0.48747,                0.33694,                0.47108,                0.31047,                  1.213,                 2.2992,                 1.5924,             0.00057603,             0.00057603,             0.00057603
                     39,                0.92005,                 1.3497,                 1.1886,                0.43593,                 0.4211,                 0.4631,                0.29839,                 1.2143,                 2.1979,                 1.6084,             0.00056703,             0.00056703,             0.00056703
                     40,                0.89219,                 1.3625,                 1.1914,                0.32259,                0.51222,                0.46936,                0.30566,                 1.2106,                 2.0296,                 1.5765,             0.00055804,             0.00055804,             0.00055804
                     41,                0.88318,                 1.2782,                 1.1582,                0.42516,                0.41633,                0.38668,                 0.2287,                 1.3504,                 2.3311,                 1.6726,             0.00054904,             0.00054904,             0.00054904
                     42,                0.92781,                 1.3144,                 1.1764,                0.41527,                0.48163,                0.45057,                0.29635,                 1.1997,                 2.3408,                 1.5805,             0.00054004,             0.00054004,             0.00054004
                     43,                0.90753,                 1.2884,                 1.1937,                 0.5678,                0.33082,                0.52116,                0.33478,                 1.2385,                 2.1685,                   1.61,             0.00053104,             0.00053104,             0.00053104
                     44,                0.92582,                 1.2901,                 1.2063,                0.60232,                0.29315,                0.46104,                0.31144,                  1.168,                  2.865,                 1.5036,             0.00052204,             0.00052204,             0.00052204
                     45,                0.86951,                 1.2364,                 1.1614,                0.53293,                0.34427,                0.48314,                0.32391,                 1.2238,                 2.3892,                 1.5909,             0.00051304,             0.00051304,             0.00051304
                     46,                0.85185,                 1.2114,                 1.1356,                0.42954,                0.47742,                0.47351,                0.31806,                  1.204,                 2.1774,                 1.5814,             0.00050404,             0.00050404,             0.00050404
                     47,                0.82534,                 1.1741,                 1.1468,                0.46476,                0.36908,                0.43207,                 0.2881,                  1.197,                 2.5586,                 1.5531,             0.00049504,             0.00049504,             0.00049504
